Data Size,Times Visited
9150,20693204
4203,4526383
4031,4071238
9552,22852249
1039,272469
9530,22767304
8531,18262321
2493,1575780
2709,1850693
7386,13670915
7486,14118124
3370,2866006
6250,9743641
8357,17451622
5123,6526221
3756,3553001
4467,4966475
2863,2030263
7300,13294161
8206,16755355
7655,14652779
9555,22874324
2193,1211025
9819,24287869
4231,4537571
9934,24924380
2011,1006071
7323,13378298
7086,12573177
6809,11617406
6358,10096229
9308,21820161
4459,4978619
5631,7853701
3460,2994054
8928,20021593
2553,1608406
8248,16932729
7124,12583219
3742,3442744
2033,1030163
7615,14500138
9734,23715812
7779,15109189
7054,12369842
7791,15055208
1761,760440
9885,24624059
2930,2134601
2999,2274004
5704,8185120
3535,3141383
7413,13718671
5894,8624779
3132,2476986
3059,2353527
6778,11333631
1784,818051
4302,4560918
6558,10786779
3028,2335187
8145,16487429
2544,1624432
4958,6096018
1871,884933
4893,6046819
5282,7003231
9728,23669647
9236,21238920
1830,838396
1831,838241
5731,8149760
6862,11723461
5868,8638546
9009,20404974
4467,5004929
3550,3105221
3573,3179407
6796,11586122
1561,602707
2425,1526877
9451,22315603
4780,5746353
3867,3644896
2002,1000517
5465,7352716
8519,18000751
8011,16117831
2613,1688366
8834,19390878
1284,415610
3708,3368715
4510,5015637
4303,4646163
4804,5747788
3432,2899381
9846,24412110
4893,6059160
5511,7752936
3374,2839057
8576,18461860
8344,17354491
5333,7083221
6959,12029253
8050,16214289
4989,6339364
3959,3974964
6544,10674950
4181,4375536
6078,9171678
7915,15797252
7041,12454687
6694,11168585
2268,1285424
8442,17739606
4329,4715847
9948,24649675
4350,4703319
8813,19253874
7869,15303453
1385,488778
6851,11785608
7782,15211619
7784,15241257
5750,8369982
3314,2801509
6997,12177232
2481,1535531
5982,8840592
5696,8185258
1638,687500
1470,540158
3487,3032924
3811,3557369
2789,1939993
4262,4490056
4658,5398200
3757,3529226
3313,2720526
9253,21547613
7749,14922918
9570,22739362
1489,558408
6249,9863019
2917,2165329
6900,11886190
5545,7773023
1054,278116
4473,4945959
3159,2520043
5341,7194066
1102,297191
5341,7221487
1892,918304
6082,9213464
1412,502886
2510,1591188
6640,10932820
9084,20617009
6251,9810848
1696,714133
7174,12863030
1190,355714
6891,11853625
9858,24101850
5100,6484882
3362,2842241
2789,1991935
3602,3180347
1287,406449
2383,1405464
2952,2169117
5668,8027644
2362,1374227
7202,12729190
6678,11044203
5290,6997818
1372,470583
9566,23218400
5839,8601872
1353,459618
1488,543156
6620,11081584
4487,5074308
3903,3814385
1616,667192
8859,19892395
7236,13216081
4438,4951932
2750,1921582
2977,2172162
1297,432107
6001,9024636
3207,2617509
8339,17457921
6491,10551719
8169,16844446
6962,12076565
4398,4830404
1806,808953
5588,7850892
9185,21013825
4176,4403031
3767,3532721
2687,1803361
4021,4057188
4126,4257354
5069,6299320
7911,15581199
5620,7865028
5132,6593001
6905,11844538
6886,11822959
4572,5289762
1739,730890
9238,21161564
5255,6855823
6487,10652161
1714,728095
3222,2538411
9747,23861822
3177,2567394
1541,576478
1868,858580
3786,3552631
5451,7426751
9597,22940056
9117,20706816
8303,17325909
1592,609981
6453,10533331
9595,22875895
3563,3174201
4590,5334204
1790,820780
9256,21518912
4918,6014281
5306,7073080
9443,22344783
7600,14498097
3570,3197452
4674,5421925
4276,4595477
8569,18343616
3624,3226514
1678,701337
3023,2313567
1789,792768
5178,6598871
9858,24212622
6026,9153204
3736,3515794
2840,2019414
1157,344457
6998,12105147
5453,7418004
3616,3283323
7072,12484021
9016,20322957
5347,7096913
4348,4736375
5115,6551532
7912,15706488
1552,606659
3656,3335555
6294,9712378
2620,1747296
9620,22808313
3602,3276377
8991,20368523
7305,13381797
9646,23276887
1090,298695
6099,9299960
6556,10675527
2883,2044215
3336,2762578
8482,17937311
7848,15304516
9532,22748069
9819,24264085
3924,3846023
7971,15945181
1965,983898
5602,7939981
9907,24602443
6230,9589873
7425,13749780
6634,11093263
8332,17498539
7717,15059286
4757,5642238
7462,13979182
9745,24039048
3047,2369559
1994,984701
1510,579003
5825,8428397
5497,7723418
5029,6295368
9733,23727947
2865,2041681
1831,834601
5130,6587939
1747,753341
4299,4607726
1401,486945
1785,769094
8734,18937688
6886,11830677
1320,442211
7062,12637843
7269,13318199
1248,389706
6032,9140582
6496,10463097
6178,9493277
4111,4166361
1178,343668
9818,24092368
8726,18979676
5930,8839389
7218,13109954
1405,497942
3214,2611127
3939,3840675
5697,8111079
5141,6564172
3219,2582448
2378,1428274
5849,8706787
3244,2637264
8467,18077398
6991,12259618
5681,8154755
1533,585279
4470,4948998
1621,638883
5427,7421494
9560,22862532
4998,6248954
7021,12148875
7136,12667944
1699,721646
4983,6162970
7354,13580057
8853,19292100
4672,5411028
2442,1496003
3445,2965869
5824,8312888
7008,12294088
8872,19592178
1668,691115
9151,20926661
3853,3713537
7252,13189771
8283,17073541
8176,16731311
6989,12204090
8247,17211761
7628,14567071
4685,5440582
2885,2054208
2497,1553553
7359,13649238
3770,3552893
6252,9736011
2006,997417
6051,9242637
6350,9968401
3899,3807488
4645,5423273
2845,1975586
4317,4856871
5575,7809360
9707,23909761
6330,9968779
4670,5333622
1794,818438
5386,7283520
5880,8721684
5544,7761669
4462,4951165
1051,275047
9152,20903994
2526,1568117
5716,8278071
6069,9188223
6136,9525184
5522,7532219
8636,18589685
6392,10191714
3765,3588954
9516,22905470
1845,850542
1160,340392
1289,427353
2531,1618165
6885,11991630
4300,4675839
6478,10465668
1368,474810
3864,3775156
9987,24682232
1644,656691
9112,20696465
7255,13183512
3599,3199595
5810,8373297
5116,6522799
9043,20343107
6310,9970139
9698,23461545
3887,3800042
6427,10257616
5850,8576754
8369,17534202
7646,14685055
7979,16025629
1513,567144
9421,22129906
4638,5429122
1345,454106
1531,587274
9527,22792646
6032,9041268
4560,5304979
9770,23714650
7043,12446817
8934,19679386
4446,4990251
1423,518031
2737,1842019
2930,2148679
4949,6212012
7076,12581168
6008,8959911
7031,12423567
5118,6496929
1751,781642
9439,22147787
6642,11247894
2963,2199814
3992,3995258
4843,5853781
7078,12520495
4020,4048006
1584,623870
2857,2086093
5635,7951399
9848,24203782
1048,286156
8626,18656385
5289,7089262
5040,6366756
1491,571829
7283,13305797
5581,7772359
5338,7060701
2080,1080638
3378,2863307
7276,13313757
8542,18141283
5728,8385617
1782,772731
7349,13697414
4316,4613895
8354,17457988
4151,4344702
3539,3125336
4389,4787219
5058,6357833
4470,4978793
4707,5400362
2591,1670162
4752,5638038
3383,2858079
7765,15085679
1942,955340
6969,12164139
3240,2644443
8915,19928775
6467,10411650
9877,24805734
8838,19588411
4586,5265128
7506,14012597
1015,265440
3057,2313475
2852,2022693
2665,1772290
6082,9117375
5734,8246400
9925,24831230
6053,9272199
3488,3028238
1198,363713
9740,23788047
3839,3647937
